time, #execs, #covered, #singletons, #sglt_clusts, #foundnew, done, update?
261124, 1, 1944, 1944, 1, 1, true, true
261125, 2, 2016, 1313, 2, 2, true, true
261164, 3, 2050, 1301, 3, 3, true, true
261165, 4, 2100, 1304, 4, 4, true, true
261167, 5, 2697, 1658, 5, 5, true, true
261352, 6, 2699, 1645, 6, 6, true, true
261354, 7, 2704, 1608, 7, 6, true, true
261355, 8, 2707, 1603, 8, 7, true, true
261357, 9, 2732, 1502, 9, 8, true, true
261358, 10, 2732, 1499, 9, 10, true, true
261360, 11, 2898, 1434, 10, 11, true, true
261361, 12, 2903, 1438, 11, 11, true, true
261362, 13, 2915, 1426, 12, 12, true, true
261363, 14, 2915, 1422, 12, 14, true, true
261364, 15, 2927, 1421, 13, 14, true, true
261365, 16, 2955, 1277, 13, 15, true, true
261367, 17, 3095, 1339, 14, 15, true, true
261368, 18, 3269, 1433, 15, 15, true, true
261370, 19, 3270, 1411, 16, 16, true, true
261371, 20, 3283, 1312, 17, 17, true, true
261372, 21, 3296, 1299, 18, 18, true, true
261374, 22, 3339, 1328, 18, 19, true, true
261383, 23, 3457, 1274, 18, 20, true, true
261385, 24, 3510, 1317, 19, 21, true, true
261386, 25, 3530, 1316, 20, 22, true, true
261389, 26, 3541, 1315, 20, 23, true, true
261391, 27, 3580, 1218, 21, 23, true, true
261392, 28, 3581, 1218, 21, 24, true, true
261394, 30, 3586, 1221, 22, 27, true, true
261395, 31, 3594, 1223, 23, 28, true, true
261396, 32, 3597, 1217, 24, 28, true, true
261398, 33, 3604, 1204, 25, 29, true, true
261401, 34, 3604, 1203, 25, 31, true, true
261402, 35, 3615, 1192, 26, 32, true, true
261404, 37, 3654, 1226, 27, 35, true, true
261406, 38, 3694, 1222, 28, 35, true, true
261407, 39, 3791, 1205, 29, 36, true, true
261410, 40, 3803, 1208, 30, 37, true, true
261411, 41, 3820, 1206, 30, 38, true, true
261413, 42, 3820, 1204, 30, 39, true, true
261415, 43, 3822, 1205, 31, 40, true, true
261417, 44, 3824, 1204, 32, 40, true, true
261419, 45, 3838, 1041, 33, 39, true, true
261421, 46, 3875, 1052, 34, 40, true, true
261423, 47, 3890, 993, 35, 41, true, true
261425, 48, 3905, 928, 35, 42, true, true
261427, 49, 3976, 979, 36, 43, true, true
261430, 50, 3977, 977, 37, 43, true, true
271125, 51, 3987, 964, 38, 42, true, true
271128, 52, 3993, 959, 39, 43, true, true
271130, 53, 4012, 906, 40, 44, true, true
271135, 54, 4012, 903, 40, 46, true, true
271138, 55, 4015, 872, 41, 47, true, true
271140, 56, 4043, 867, 41, 48, true, true
271142, 57, 4044, 868, 42, 48, true, true
271144, 58, 4048, 864, 43, 49, true, true
271147, 59, 4049, 858, 44, 49, true, true
271154, 60, 4049, 857, 44, 51, true, true
271156, 61, 4066, 866, 45, 49, true, true
271158, 62, 4072, 864, 46, 50, true, true
271162, 63, 4076, 834, 47, 50, true, true
271163, 64, 4083, 806, 47, 51, true, true
271165, 65, 4121, 824, 48, 50, true, true
271172, 66, 4121, 815, 48, 51, true, true
271176, 67, 4121, 812, 48, 53, true, true
271179, 68, 4122, 805, 49, 53, true, true
271183, 69, 4122, 801, 49, 54, true, true
271185, 70, 4127, 804, 50, 54, true, true
271187, 71, 4128, 805, 51, 55, true, true
271190, 72, 4135, 809, 52, 55, true, true
271192, 73, 4137, 809, 53, 56, true, true
271195, 74, 4150, 804, 54, 57, true, true
271198, 75, 4153, 743, 54, 58, true, true
271200, 76, 4191, 767, 55, 57, true, true
271203, 77, 4207, 781, 56, 57, true, true
271208, 78, 4284, 751, 56, 57, true, true
271210, 79, 4300, 761, 57, 57, true, true
271214, 80, 4301, 762, 58, 57, true, true
271216, 81, 4320, 779, 59, 57, true, true
271219, 82, 4324, 783, 60, 57, true, true
271224, 84, 4325, 784, 61, 60, true, true
271229, 86, 4327, 786, 62, 62, true, true
271232, 87, 4332, 780, 63, 62, true, true
271236, 88, 4344, 784, 64, 63, true, true
271238, 90, 4345, 784, 65, 64, true, true
271242, 91, 4345, 781, 65, 66, true, true
271247, 92, 4345, 778, 65, 67, true, true
271250, 93, 4347, 778, 65, 67, true, true
271254, 94, 4348, 778, 66, 67, true, true
271257, 95, 4351, 779, 67, 68, true, true
271260, 96, 4369, 760, 68, 67, true, true
271263, 97, 4372, 757, 68, 67, true, true
271266, 98, 4374, 748, 69, 68, true, true
271271, 99, 4374, 747, 68, 69, true, true
271273, 100, 4375, 748, 69, 70, true, true
271309, 101, 4376, 747, 70, 70, true, true
271313, 102, 4385, 748, 71, 70, true, true
271316, 103, 4387, 749, 71, 71, true, true
271319, 104, 4392, 754, 72, 69, true, true
271322, 105, 4394, 747, 73, 67, true, true
271324, 106, 4396, 749, 74, 68, true, true
271327, 107, 4398, 750, 74, 69, true, true
271333, 108, 4405, 753, 75, 69, true, true
271335, 109, 4411, 756, 75, 70, true, true
271338, 110, 4417, 761, 76, 71, true, true
271348, 112, 4435, 776, 77, 72, true, true
271351, 113, 4438, 778, 78, 73, true, true
271359, 115, 4438, 777, 78, 75, true, true
271379, 116, 4618, 723, 77, 74, true, true
271393, 118, 4619, 715, 78, 75, true, true
271398, 119, 4624, 718, 79, 75, true, true
271447, 120, 4625, 719, 80, 75, true, true
271457, 121, 4625, 718, 79, 76, true, true
271462, 122, 4636, 705, 78, 77, true, true
271469, 123, 4636, 701, 78, 78, true, true
271488, 124, 4636, 696, 78, 80, true, true
271504, 125, 4640, 621, 79, 81, true, true
271511, 126, 4645, 623, 79, 81, true, true
271516, 127, 4648, 626, 80, 82, true, true
271521, 128, 4650, 628, 81, 82, true, true
271542, 131, 4651, 622, 81, 82, true, true
271551, 132, 4651, 617, 81, 83, true, true
271556, 133, 4652, 618, 82, 84, true, true
271561, 134, 4655, 613, 83, 85, true, true
271564, 135, 4659, 617, 84, 85, true, true
271593, 139, 4659, 615, 83, 88, true, true
271597, 140, 4662, 616, 84, 87, true, true
271607, 141, 4666, 605, 85, 85, true, true
271613, 142, 4672, 592, 86, 86, true, true
271624, 144, 4674, 594, 87, 85, true, true
271635, 145, 4674, 585, 87, 87, true, true
271638, 146, 4676, 586, 88, 85, true, true
271645, 147, 4677, 586, 89, 86, true, true
271653, 148, 4679, 585, 90, 86, true, true
271657, 149, 4681, 579, 90, 85, true, true
271661, 150, 4683, 577, 90, 86, true, true
271673, 153, 4685, 576, 90, 89, true, true
271681, 154, 4685, 575, 90, 90, true, true
271830, 155, 4700, 589, 91, 90, true, true
271836, 156, 4705, 592, 92, 88, true, true
271841, 158, 4705, 589, 92, 90, true, true
271848, 159, 4707, 589, 93, 89, true, true
271867, 161, 4709, 590, 94, 90, true, true
271872, 162, 4720, 596, 94, 88, true, true
271883, 163, 4720, 592, 93, 89, true, true
271891, 164, 4720, 591, 93, 91, true, true
271895, 165, 4722, 591, 94, 91, true, true
271901, 166, 4722, 589, 93, 92, true, true
271905, 167, 4723, 588, 93, 91, true, true
271908, 168, 4724, 587, 94, 91, true, true
271916, 169, 4724, 583, 93, 93, true, true
271922, 170, 4724, 582, 92, 93, true, true
271927, 171, 4724, 577, 91, 94, true, true
271944, 173, 4724, 576, 91, 97, true, true
271990, 174, 4840, 602, 90, 94, true, true
272003, 175, 4841, 603, 91, 93, true, true
272039, 176, 4843, 605, 92, 91, true, true
275470, 177, 4878, 635, 93, 89, true, true
275482, 178, 4878, 632, 93, 90, true, true
275537, 180, 4878, 631, 93, 93, true, true
275545, 181, 4879, 631, 94, 93, true, true
275553, 182, 4880, 632, 95, 92, true, true
275574, 183, 4880, 630, 95, 94, true, true
275577, 184, 4881, 631, 96, 95, true, true
275604, 186, 4882, 602, 96, 94, true, true
275646, 188, 4882, 600, 95, 96, true, true
275655, 189, 4884, 597, 96, 96, true, true
275665, 190, 4886, 594, 95, 96, true, true
275717, 193, 4888, 589, 95, 98, true, true
