time,Esti,Pr,Dur,id
1.0,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.0073062393404262,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.0146658598141518,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.0220792514365131,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.0295468070723919,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.0370689224570342,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.0446459962170231,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.0522784298914025,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.059966627952957,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.0677109978296455,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.075511949926194,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.0833698976458432,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.0912852574122567,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.099258448691589,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.1072898940147153,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.115380018999622,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.1235292523739622,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.1317380259977763,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.1400067748863774,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.1483359372334045,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.1567259544340442,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.165177271108422,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.1736903351251649,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.1822655976251342,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.1909035130453351,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
1.1996045391429988,$\hat{m}_{bug}$,1.843390568947662e-05,408.50149282587375,bug-harfbuzz_1
